Language,ID,Command
de-DE,-6,sprache wechseln
de-DE,1,welche objekte kannst du sehen
de-DE,1,was siehst du
de-DE,1,was ist das
de-DE,2,ist das ein
de-DE,2,ist das eine
de-DE,3,wen kannst du sehen
de-DE,3,wer bin ich
de-DE,3,wer ist das
de-DE,4,ist das
de-DE,4,bin ich
de-DE,5,wer hat den
de-DE,5,wer hat das
de-DE,5,wer hat die
de-DE,-7,lerne ein neues Gesicht
de-DE,-8,aktivieren
de-DE,-9,liefer eine nachricht
de-DE,-10,check meine nachrichten
en-EN,-6,change language
en-EN,1,what objects can you see
en-EN,1,what can you see
en-EN,1,what can you say
en-EN,1,what is this
en-EN,2,is this a
en-EN,2,can you see a
en-EN,3,who can you see
en-EN,3,who can you say
en-EN,3,who is this
en-EN,3,who am I
en-EN,4,is this
en-EN,4,can you see
en-EN,5,who has the
en-EN,-7,learn a new face
en-EN,7,where is the
en-EN,7,where’s the
en-EN,8,where is
en-EN,8,where’s
en-EN,-8,activate
en-EN,-9,deliver a message
en-EN,-10,check my messages
en-EN,-9,deliver message
es-ES,-6,cambia el idioma
es-ES,1,que objectos puedes ver
es-ES,1,que ves
es-ES,1,que es eso
es-ES,2,esto es una
es-ES,2,esto es un
es-ES,2,puedes ver una
es-ES,2,puedes ver un
es-ES,3,quien ves
es-ES,3,quien es eso
es-ES,4,esto es
es-ES,4,puedes ver a
es-ES,5,quien tiene el
es-ES,5,quien tiene la
es-ES,5,quien tiene los
es-ES,5,quien tiene las
es-ES,-7,aprende una cara nueva
es-ES,-8,activate
es-ES,-9,envia un mensaje
es-ES,-10,dime mis mensajes nuevos
it-IT,-6,cambia la lingua
it-IT,1,che oggetti puoi vedere
it-IT,1,cosa puoi vedere
it-IT,1,cos’e
it-IT,2,questo e una
it-IT,2,questo e un
it-IT,2,puoi vedere un
it-IT,3,a chi puoi vedere
it-IT,3,chi e
it-IT,3,chi sono
it-IT,4,questo e
it-IT,4,puoi vedere a
it-IT,5,chi ha lo
it-IT,5,chi ha il
it-IT,5,chi ha la
it-IT,-7,impara una cara nuova
it-IT,-8,attiviti
it-IT,-9,manda un messaggio
it-IT,-10,ho dei messaggi nuovi
nl-NL,-6,taal wisselen
nl-NL,1,wat voor objekten kan je zien
nl-NL,1,wat kan je zien
nl-NL,1,wat is dit
nl-NL,2,is dit een
nl-NL,3,wie kan je zien
nl-NL,3,wie is dit
nl-NL,3,wie ben ik
nl-NL,4,is dit
nl-NL,5,wie heeft de
nl-NL,5,wie heeft het
nl-NL,-7,nieuw gezicht leren
nl-NL,-8,aktiveeren
nl-NL,-9,stuur een bericht
nl-NL,-10,check mijn nieuwe berichten
