Language	Type	Message
en-EN	idling	Hey there! I’m De Niro. Just call me, when you need me!
en-EN	listening	How can I help you?
en-EN	listening	What's up?
en-EN	listening	Yes, please?
de-DE	listening	Wie kann ich helfen?
de-DE	listening	Ja bitte?
de-DE	listening	Was geht ab?
es-ES	listening	Como te puedo ayudar?
es-ES	listening	Si por favor?
es-ES	listening	Que pasa?
it-IT	listening	Come ti posso aiutare?
it-IT	listening	Si per favore?
it-IT	listening	Cosa c'e?
nl-NL	listening	Hoe kan ik helpen?
nl-NL	listening	Ja, alsjeblieft?
nl-NL	listening	Wat wil je?
en-EN	interpretation	Let me check!
en-EN	interpretation	Let me think about that.
en-EN	interpretation	Give me a second.
de-DE	interpretation	Lass mich eben nachschauen.
de-DE	interpretation	Gib mir eine Sekunde.
de-DE	interpretation	Warte kurz.
es-ES	interpretation	Esperame un segundo.
es-ES	interpretation	Dejame ver.
es-ES	interpretation	Dejame pensar.
it-IT	interpretation	Aspetta un momento.
it-IT	interpretation	Lasciami vedere un attimo.
it-IT	interpretation	Vediamo.
nl-NL	interpretation	Wacht even.
nl-NL	interpretation	Een moment alsjeblieft.
nl-NL	interpretation	Laat me even kijken.
en-EN	INVALID_INSTRUCTION_ERROR	Sorry, I didn’t quite catch that. Could you say that again?
en-EN	INVALID_INSTRUCTION_ERROR	Sorry, could you repeat that please?
en-EN	INVALID_INSTRUCTION_ERROR	I apologize, I am not familiar with that command. Let’s try again.
en-EN	NO_OBJECT_SPECIFIED	I don’t know what object to look for. Could you specify?
en-EN	NO_OBJECT_SPECIFIED	Can you specify an object for me to look for?
en-EN	NO_OBJECT_SPECIFIED	Please specify an object for me to look for.
en-EN	NO_NAME_SPECIFIED	I don’t know what person to look for. Could you specify?
en-EN	NO_NAME_SPECIFIED	Can you specify a person for me to look for?
en-EN	NO_NAME_SPECIFIED	Please specify a person for me to look for.
en-EN	INVALID_OBJECT	Sorry, I don’t know what that object is. Could you try again?
en-EN	INVALID_OBJECT	I’ve never heard of this object unfortunately. Let’s try something else.
en-EN	INVALID_OBJECT	Glad that you know what that object is. I don’t. Let’s try again.
en-EN	INVALID_NAME	I don’t know this person. Please try again
en-EN	INVALID_NAME	Never heard of that person. Can you try again?
en-EN	INVALID_NAME	Who is this person? Let’s try again.
en-EN	CHANGE_LANGUAGE	No problem, just call me in a different language.
de-DE	CHANGE_LANGUAGE	Kein Problem, ruf mich einfach in einer anderen Sprache.
es-ES	CHANGE_LANGUAGE	No hay problema. Solo llamame en otro idioma.
it-IT	CHANGE_LANGUAGE	Non c’e problema. Solo chiamami in otra lingua.
nl-NL	CHANGE_LANGUAGE	Geen probleem. Roep me gewoon in een ander taal.
es-ES	INVALID_INSTRUCTION_ERROR	Disculpa, no entendí. ¿Puedes repetirlo?
es-ES	INVALID_INSTRUCTION_ERROR	Puedes repetirlo ¿por favor?
es-ES	INVALID_INSTRUCTION_ERROR	Lo siento, no conozco ese comando. Volvamos a intentarlo
es-ES	NO_OBJECT_SPECIFIED	No sé qué comando buscar. ¿Puedes ser más específico?
es-ES	NO_OBJECT_SPECIFIED	¿Puedes decirme qué comando buscar?
es-ES	NO_OBJECT_SPECIFIED	Por favor, di un comando.
es-ES	NO_NAME_SPECIFIED	No sé a que persona buscar.
es-ES	NO_NAME_SPECIFIED	Por favor, dime a quién buscar.
es-ES	NO_NAME_SPECIFIED	Disculpa, no sé que persona es esa. Volvamos a intentarlo.
es-ES	INVALID_OBJECT	Wow, ese objeto no lo conozco pero intentemos algo diferente.
es-ES	INVALID_OBJECT	Qué bien que sepas qué es eso, yo no. Volvamos a intentarlo.
es-ES	INVALID_OBJECT	Qué es ese objecto? Volvamos a intentarlo.
es-ES	INVALID_NAME	No conozco a esa persona, volvamos a intentarlo
es-ES	INVALID_NAME	Nunca había escuchado de esa persona. ¿Podrías intentarlo de nuevo?
es-ES	INVALID_NAME	¿Quién es esa persona? Intentemos otra vez
de-DE	INVALID_INSTRUCTION_ERROR	Sorry, ich habe das nicht ganz verstanden. Könntest du das noch einmal sagen?
de-DE	INVALID_INSTRUCTION_ERROR	Entschuldigung, kannst du das bitte wiederholen?
de-DE	INVALID_INSTRUCTION_ERROR	Entschuldigung, ich bin mit diesem Befehl nicht vertraut. Lasst es uns noch einmal versuchen.
de-DE	NO_OBJECT_SPECIFIED	Ich weiß nicht, nach welchem Objekt ich suchen soll. Kannst du das näher erläutern?
de-DE	NO_OBJECT_SPECIFIED	Kannst du ein Objekt angeben, nach dem ich suchen soll?
de-DE	NO_OBJECT_SPECIFIED	Bitte gib ein Objekt an, nach dem ich suchen soll.
de-DE	NO_NAME_SPECIFIED	Ich weiß nicht, nach welcher Person ich suchen soll.Kannst du das näher erläutern?
de-DE	NO_NAME_SPECIFIED	Kannst du eine Person angeben, nach der ich suchen soll?
de-DE	NO_NAME_SPECIFIED	Bitte gib eine Person an, nach der ich suchen soll.
de-DE	INVALID_OBJECT	Sorry, ich weiß nicht, was das für ein Objekt ist. Kannst du es noch einmal versuchen?
